Name,Bedrooms,Price,Location,Total_Area,Description,Baths,Balcony
"penta concept enclave,Thiruverkkadu, Chennai",4,100.0,"penta concept enclave,Thiruverkkadu, Chennai",2350,There are 5 blocks and in the 5th block there are 5 Flats. We have custom built 2 apartments in that in the 1st and 2nd floors for our exclusive use !,4,Yes
VGN Platina,2,40.0,"MGR Nagar, Ayappakkam,Chennai",868,"Check out this 2 BHK Apartment for sale in Ayappakkam, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Ayappakkam is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 2. The property's price is Rs 40.0 L. Residents in this property pay Rs 1350 towards maintenance. This property is a modern-day abode, with 868 Square feet built-up area. The unit has 2 ...",3,Yes
"Ultra Amaar Avenue Phase 2,Choolaimedu, Chennai",2,89.0,"Ultra Amaar Avenue Phase 2,Choolaimedu, Chennai",926,"Check out this 2 BHK Apartment for sale in Choolaimedu, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Choolaimedu is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 2. The property's price is Rs 89.0 L. Residents in this property pay Rs 0 towards maintenance. This property is a modern-day abode, with 926 Square feet built-up area. The unit has 2 b...",3,Yes
"Vallalar Kudil,Sarathi Nagar, Saidapet,Chennai",2,63.0,"Vallalar Kudil,Sarathi Nagar, Saidapet,Chennai",1090,"2 BHK Apartment for sale in Chennai. This property is in Saidapet, which is a coveted investment location. This tastefully designed 2 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 1. The total number of floors in this Apartment is 3. The price of the Apartment is Rs 58.0 L. Monthly maintenance charges come to Rs 1000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1090 Square feet. ...",3,Yes
Shakthi Mangalambikai Apartments,3,90.0,"Elim Nagar, Perungudi,Chennai",1307,"Posh and spacious 3BHK flat with 3 balconies and one covered parking at the prime location of Perungudi.Well ventilated, ""ready to occupy flat"" with excellent woodwork done in all rooms and kitchen.Just 5 mts walk from ""World Trade Center.""  Walking track and park opposite to building.  All facilities are available nearby.  5 mts walk to bus stop.  Local transport available like auto's.  Vaastu-based flat with clear title. More About This Property 3 BHK Apartment for sale in Perungudi, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. ...",3,Yes
Akshaya January,1,25.0,"Senganmal, Chennai",605,"1 BHK Apartment for sale in Senganmal, Chennai. This 1 BHK unit is available in Senganmal and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Senganmal. It is on floor 10. The total number of floors is 14. The price of this Apartment is Rs 25.0 L. Residents in this project also pay monthly maintenance charges of Rs 1663. The built-up area is 605 Square feet. There are 1 bedroom and 1 bathroom. The property is East-facing. This property is at a walking dista...",2,Yes
Jamans,2,49.5,"Vaishnavi Nagar, Thirumullaivoyal,Chennai",967,"Looking for a 2 BHK Apartment for sale in Chennai? Your search ends here. Buy this 2 BHK property in Chennai's finest location, Thirumullaivoyal. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 3 floors. This Apartment is available at a reasonable price of Rs 49.5 L. Maintenance charges in this property is Rs 1250. The built up area of this property is 967 Square feet. It is spacious for a family and this property has a carpet area of 865 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as ...",3,Yes
"Live Green,Kattur, Chennai",1,29.0,"Live Green,Kattur, Chennai",586,"This property is a PERFECT fusion of Elegance, Quality, Comfort and Budget. At just 500 meters away from Tambaram-Velachery Main Road",2,No
Sumeru Puthur City,2,45.0,"Tiruvancheri, Selaiyur,Chennai",1038,"Looking for a good 2 BHK Apartment in Selaiyur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 1. Total number of floors is 2. Maintenance charges of this property is Rs 600. This Apartment is available for Rs 45.0 L. This modern unit has a built-up area of 1038 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Aarthi Hospital, Annai Theresa Hospital, and Sindu Eye Hospital. Established schools, such as Pleasant Valley Middle School, Government Primary Sc...",3,No
Redmond Square,3,70.0,"Sholinganallur, Chennai",1500,"Check out this 3 BHK Apartment for sale in Sholinganallur, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Sholinganallur is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 3. The total number of floors in this project is 4. The property's price is Rs 90.0 L. Residents in this property pay Rs 4500 towards maintenance. This property is a modern-day abode, with 1500 Square feet built-up area. The un...",3,No
Ambrosia Apartments,3,46.0,"Semmanjeri, Semmancheri,Chennai",1133,"3 BHK Apartment for sale in Chennai. This property is in Kamaraj Nagar, which is a coveted investment location. This tastefully designed 3 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 1. The total number of floors in this Apartment is 2. The price of the Apartment is Rs 46.0 L. Monthly maintenance charges come to Rs 1200. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1133 Square f...",3,Yes
